t,r(t)
0,0
0.02,0.0002666666
0.04,0.0007999999
0.06,0.0016
0.08,0.002666667
0.09999999,0.004
0.12,0.0056
0.14,0.007466666
0.16,0.0096
0.18,0.012
0.2,0.01466667
0.22,0.0176
0.24,0.0208
0.26,0.02426667
0.28,0.028
0.3,0.032
0.32,0.03626667
0.34,0.04080001
0.36,0.0456
0.38,0.05066667
0.4,0.05600001
0.42,0.06160001
0.44,0.06746668
0.46,0.07360001
0.48,0.08000001
0.5,0.08666667
0.52,0.0936
0.54,0.1008
0.56,0.1082667
0.58,0.116
0.6,0.124
0.62,0.1322667
0.64,0.1408
0.66,0.1496
0.68,0.1586666
0.7,0.168
0.72,0.1776
0.74,0.1874666
0.76,0.1975999
0.78,0.2079999
0.8,0.2186666
0.82,0.2295999
0.84,0.2407999
0.86,0.2522666
0.88,0.2639999
0.9,0.2759999
0.92,0.2882666
0.94,0.3007999
0.96,0.3135999
0.98,0.3266665
1,0.3399999
1.02,0.3535998
1.04,0.3674665
1.06,0.3815998
1.08,0.3959998
1.1,0.4106665
1.12,0.4255998
1.14,0.4407998
1.16,0.4562665
1.18,0.4719998
1.2,0.4879998
1.22,0.5042664
1.24,0.5207998
1.26,0.5375997
1.28,0.5546664
1.3,0.5719997
1.32,0.5895997
1.34,0.6074664
1.36,0.6255997
1.38,0.6439998
1.4,0.6626664
1.42,0.6815997
1.44,0.7007997
1.46,0.7202663
1.48,0.7399997
1.5,0.7599996
1.52,0.7802663
1.54,0.8007996
1.56,0.8215996
1.58,0.8426663
1.6,0.8639996
1.62,0.8855996
1.64,0.9074663
1.66,0.9295996
1.68,0.9519995
1.7,0.9746662
1.72,0.9975995
1.74,1.0208
1.76,1.044266
1.78,1.068
1.8,1.092
1.82,1.116266
1.84,1.140799
1.86,1.165599
1.88,1.190666
1.9,1.215999
1.92,1.241599
1.94,1.267466
1.96,1.293599
1.98,1.319999
2,1.346666
2.02,1.373599
2.04,1.400799
2.06,1.428266
2.08,1.455999
2.1,1.483999
2.12,1.512266
2.14,1.540799
2.16,1.569599
2.18,1.598666
2.2,1.627999
2.22,1.657599
2.24,1.687466
2.26,1.717599
2.28,1.747999
2.3,1.778666
2.32,1.809599
2.34,1.840799
2.36,1.872266
2.38,1.903999
2.4,1.935999
2.42,1.968265
2.44,2.000799
2.46,2.033599
2.48,2.066665
2.5,2.099999
2.52,2.133599
2.54,2.167465
2.56,2.201599
2.58,2.235999
2.6,2.270665
2.62,2.305598
2.64,2.340798
2.66,2.376265
2.68,2.411998
2.7,2.447998
2.72,2.484265
2.74,2.520798
2.76,2.557598
2.78,2.594665
2.8,2.631998
2.82,2.669598
2.84,2.707465
2.86,2.745598
2.88,2.783998
2.9,2.822665
2.92,2.861598
2.94,2.900798
2.96,2.940265
2.98,2.979998
3,3.019998
3.02,3.060265
3.04,3.100532
3.06,3.140798
3.08,3.181065
3.1,3.221332
3.12,3.261599
3.14,3.301865
3.16,3.342132
3.18,3.382399
3.2,3.422666
3.22,3.462932
3.24,3.503199
3.26,3.543466
3.28,3.583733
3.3,3.623999
3.32,3.664266
3.34,3.704533
3.36,3.7448
3.38,3.785066
3.4,3.825333
3.42,3.8656
3.44,3.905867
3.46,3.946133
3.48,3.9864
3.5,4.026667
3.52,4.066933
3.54,4.1072
3.56,4.147466
3.58,4.187733
3.6,4.227999
3.62,4.268266
3.64,4.308532
3.66,4.348799
3.68,4.389065
3.7,4.429332
3.72,4.469598
3.74,4.509865
3.76,4.550131
3.78,4.590398
3.8,4.630664
3.82,4.670931
3.84,4.711197
3.86,4.751464
3.88,4.79173
3.9,4.831997
3.92,4.872263
3.94,4.91253
3.96,4.952796
3.98,4.993063
4,5.033329
4.02,5.072597
4.04,5.110872
4.06,5.148164
4.08,5.18448
4.1,5.219826
4.12,5.254211
4.14,5.28764
4.16,5.320121
4.18,5.35166
4.2,5.382263
4.22,5.411937
4.24,5.440687
4.26,5.468519
4.28,5.495439
4.3,5.521451
4.32,5.546563
4.34,5.570777
4.36,5.5941
4.38,5.616536
4.4,5.638089
4.42,5.658763
4.44,5.678564
4.46,5.697494
4.48,5.715557
4.5,5.732758
4.52,5.749099
4.54,5.764584
4.56,5.779215
4.58,5.792997
4.6,5.805931
4.62,5.818021
4.64,5.829268
4.66,5.839675
4.68,5.849244
4.7,5.857976
4.72,5.865875
4.74,5.87294
4.76,5.879174
4.78,5.884578
4.8,5.889153
4.82,5.8929
4.84,5.895819
4.86,5.897911
4.88,5.899177
4.9,5.899617
4.92,5.89923
4.94,5.898018
4.96,5.895979
4.98,5.893113
5,5.88942
5.02,5.884899
5.04,5.879549
5.06,5.873369
5.08,5.866357
5.1,5.858513
5.12,5.849834
5.14,5.84032
5.16,5.829967
5.18,5.818775
5.2,5.80674
5.22,5.79386
5.24,5.780134
5.26,5.765557
5.28,5.750128
5.3,5.733842
5.32,5.716698
5.34,5.69869
5.36,5.679817
5.38,5.660073
5.4,5.639456
5.42,5.61796
5.44,5.595582
5.46,5.572317
5.48,5.548161
5.5,5.523108
5.52,5.497153
5.54,5.470293
5.56,5.44252
5.58,5.413829
5.6,5.384216
5.62,5.353673
5.64,5.322195
5.66,5.289775
5.68,5.256408
5.7,5.222085
5.72,5.186801
5.74,5.150549
5.76,5.11332
5.78,5.075109
5.8,5.035906
5.82,4.995704
5.84,4.954496
5.86,4.912272
5.88,4.870049
5.9,4.827826
5.92,4.785602
5.94,4.743379
5.96,4.701155
5.98,4.658932
6,4.616708
6.02,4.574485
6.04,4.532261
6.06,4.490038
6.08,4.447814
6.1,4.405591
6.12,4.363368
6.14,4.321144
6.16,4.278921
6.18,4.236697
6.2,4.194474
6.22,4.15225
6.24,4.110027
6.26,4.067803
6.28,4.02558
6.3,3.983356
6.32,3.941133
6.34,3.89891
6.36,3.856686
6.38,3.814463
6.4,3.772239
6.42,3.730016
6.44,3.687792
6.46,3.645569
6.48,3.603345
6.5,3.561122
6.52,3.518898
6.54,3.476675
6.56,3.434452
6.58,3.392228
6.6,3.350005
6.62,3.307781
6.64,3.265558
6.66,3.223334
6.68,3.181111
6.7,3.138887
6.72,3.096664
6.74,3.05444
6.76,3.012217
6.78,2.969994
6.8,2.92777
6.82,2.885547
6.84,2.843323
6.86,2.8011
6.88,2.758876
6.9,2.716653
6.92,2.674429
6.94,2.632206
6.96,2.589983
6.98,2.547759
7,2.505536
7.02,2.463312
7.04,2.421089
7.06,2.378865
7.08,2.336642
7.1,2.294418
7.12,2.252195
7.14,2.209971
7.16,2.167748
7.18,2.125525
7.2,2.083301
7.22,2.041078
7.24,1.998854
7.26,1.95663
7.28,1.914407
7.3,1.872183
7.32,1.82996
7.34,1.787736
7.36,1.745513
7.38,1.703289
7.4,1.661065
7.42,1.618842
7.44,1.576618
7.46,1.534395
7.48,1.492171
7.5,1.449948
7.52,1.407724
7.54,1.3655
7.56,1.323277
7.58,1.281053
7.6,1.23883
7.62,1.196606
7.64,1.154383
7.66,1.112159
7.68,1.069935
7.7,1.027712
7.72,0.9854884
7.74,0.9432648
7.76,0.9010413
7.78,0.8588178
7.8,0.8165943
7.82,0.7743708
7.84,0.7321473
7.86,0.6899238
7.88,0.6477003
7.9,0.6054767
7.92,0.5632532
7.94,0.5210297
7.96,0.4788062
7.98,0.4365827
8,0.3943592
8.02,0.3521357
8.04,0.3099121
8.059999,0.2676886
8.08,0.2254651
8.099999,0.1832416
8.12,0.1410181
8.139999,0.09879457
8.16,0.05657105
8.179999,0.01434753
8.2,-0.02787599
8.22,-0.07009951
8.24,-0.112323
8.26,-0.1545466
8.28,-0.1967701
8.3,-0.2389936
8.32,-0.2812171
8.34,-0.3234406
8.36,-0.3656641
8.38,-0.4078876
8.4,-0.4501112
8.42,-0.4923347
8.44,-0.5345582
8.46,-0.5767817
8.48,-0.6190052
8.5,-0.6612287
8.52,-0.7034522
8.54,-0.7456757
8.559999,-0.7878993
8.58,-0.8301228
8.599999,-0.8723463
8.62,-0.8965196
8.639999,-0.9176314
8.66,-0.9387432
8.679999,-0.959855
8.7,-0.9809666
8.72,-1.002079
8.74,-1.02319
8.76,-1.044302
8.78,-1.065414
8.8,-1.086525
8.82,-1.107637
8.84,-1.128749
8.86,-1.149861
8.88,-1.170972
8.9,-1.192084
8.92,-1.213196
8.94,-1.234308
8.96,-1.255419
8.98,-1.276531
9,-1.297643
9.02,-1.318754
9.04,-1.339866
9.059999,-1.360978
9.08,-1.38209
9.099999,-1.403201
9.12,-1.424313
9.139999,-1.445425
9.16,-1.466537
9.179999,-1.487648
9.2,-1.50876
9.22,-1.529872
9.24,-1.550983
9.26,-1.572095
9.28,-1.593207
9.3,-1.614319
9.32,-1.63543
9.34,-1.656542
9.36,-1.677654
9.38,-1.698766
9.4,-1.719877
9.42,-1.740989
9.44,-1.762101
9.46,-1.783212
9.48,-1.804324
9.5,-1.825436
9.52,-1.846548
9.54,-1.867659
9.559999,-1.888771
9.58,-1.909883
9.599999,-1.930995
9.62,-1.952106
9.639999,-1.973218
9.66,-1.99433
9.679999,-2.015441
9.7,-2.036553
9.719999,-2.057665
9.74,-2.078777
9.76,-2.099888
9.78,-2.121
9.8,-2.142112
9.82,-2.163224
9.84,-2.184335
9.86,-2.205447
9.88,-2.226559
9.9,-2.24767
9.92,-2.268782
9.94,-2.289894
9.96,-2.311006
9.98,-2.332117
10,-2.353229
10.02,-2.374341
10.04,-2.395452
10.06,-2.416564
10.08,-2.437676
10.1,-2.458788
10.12,-2.479899
10.14,-2.501011
10.16,-2.522123
10.18,-2.543235
10.2,-2.564346
10.22,-2.585458
10.24,-2.60657
10.26,-2.627682
10.28,-2.648794
10.3,-2.669905
10.32,-2.691017
10.34,-2.712129
10.36,-2.733241
10.38,-2.754353
10.4,-2.775465
10.42,-2.796576
10.44,-2.817688
10.46,-2.8388
10.48,-2.859912
10.5,-2.881023
10.52,-2.902135
10.54,-2.923247
10.56,-2.944359
10.58,-2.965471
10.6,-2.986583
10.62,-3.007694
10.64,-3.028806
10.66,-3.049918
10.68,-3.07103
10.7,-3.092142
10.72,-3.113253
10.74,-3.134365
10.76,-3.155477
10.78,-3.176589
10.8,-3.197701
10.82,-3.218812
10.84,-3.239924
10.86,-3.261036
10.88,-3.282148
10.9,-3.30326
10.92,-3.324371
10.94,-3.345483
10.96,-3.366595
10.98,-3.387707
11,-3.408819
11.02,-3.42993
11.04,-3.451042
11.06,-3.472154
11.08,-3.493266
11.1,-3.514378
11.12,-3.53549
11.14,-3.556601
11.16,-3.577713
11.18,-3.598825
11.2,-3.619937
11.22,-3.641048
11.24,-3.66216
11.26,-3.683272
11.28,-3.704384
11.3,-3.725496
11.32,-3.746608
11.34,-3.767719
11.36,-3.788831
11.38,-3.809943
11.4,-3.831055
11.42,-3.852167
11.44,-3.873278
11.46,-3.89439
11.48,-3.915502
11.5,-3.936614
11.52,-3.957726
11.54,-3.978837
11.56,-3.999949
11.58,-4.021061
11.6,-4.042173
11.62,-4.063285
11.64,-4.084397
11.66,-4.105509
11.68,-4.126621
11.7,-4.147733
11.72,-4.168845
11.74,-4.189957
11.76,-4.211069
11.78,-4.232181
11.8,-4.253293
11.82,-4.274405
11.84,-4.295516
11.86,-4.316628
11.88,-4.33774
11.9,-4.358852
11.92,-4.379964
11.94,-4.401076
11.96,-4.422188
11.98,-4.4433
12,-4.464412
12.02,-4.485524
12.04,-4.506636
12.06,-4.527748
12.08,-4.54886
12.1,-4.569972
12.12,-4.591084
12.14,-4.612196
12.16,-4.633308
12.18,-4.65442
12.2,-4.675532
12.22,-4.696644
12.24,-4.717756
12.26,-4.738868
12.28,-4.75998
12.3,-4.781092
12.32,-4.802204
12.34,-4.823316
12.36,-4.844428
12.38,-4.86554
12.4,-4.886652
12.42,-4.907763
12.44,-4.928875
12.46,-4.949987
12.48,-4.971099
12.5,-4.992211
12.52,-5.013323
12.54,-5.034435
12.56,-5.055547
12.58,-5.076659
12.6,-5.097771
12.62,-5.118883
12.64,-5.139995
12.66,-5.161107
12.68,-5.182219
12.7,-5.203331
12.72,-5.224443
12.74,-5.245555
12.76,-5.266667
12.78,-5.287779
12.8,-5.308891
12.82,-5.330003
12.84,-5.351115
12.86,-5.372227
12.88,-5.393339
12.9,-5.414451
12.92,-5.435563
12.94,-5.456675
12.96,-5.477787
12.98,-5.498899
13,-5.52001
13.02,-5.541122
13.04,-5.562234
13.06,-5.583346
13.08,-5.604458
13.1,-5.62557
13.12,-5.646682
13.14,-5.667794
13.16,-5.688906
13.18,-5.710018
13.2,-5.73113
13.22,-5.752242
13.24,-5.773354
13.26,-5.794466
13.28,-5.815578
13.3,-5.83669
13.32,-5.857802
13.34,-5.878914
13.36,-5.900026
13.38,-5.921138
13.4,-5.94225
13.42,-5.963362
13.44,-5.984474
13.46,-6.005586
13.48,-6.026698
13.5,-6.04781
13.52,-6.068922
13.54,-6.090034
13.56,-6.111145
13.58,-6.132257
13.6,-6.153369
13.62,-6.174481
13.64,-6.195593
13.66,-6.216705
13.68,-6.237817
13.7,-6.258929
13.72,-6.280041
13.74,-6.301153
13.76,-6.322265
13.78,-6.343377
13.8,-6.364489
13.82,-6.385601
13.84,-6.406713
13.86,-6.427825
13.88,-6.448937
13.9,-6.470049
